graine,score,invalides
804,-295.0,0
805,-403.0,0
806,-446.0,0
807,-44.0,0
808,-12.0,0
809,-258.0,0
810,-357.0,0
811,-42.0,0
812,-251.0,0
813,-278.0,0
814,-112.0,0
815,-227.0,0
816,-234.0,0
817,-119.0,0
818,-61.0,0
819,-170.0,0
820,-106.0,0
821,-360.0,0
822,-106.0,0
823,-315.0,0
824,-97.0,0
825,-119.0,0
826,-254.0,0
827,-62.0,0
828,-340.0,0
829,-164.0,0
830,-179.0,0
831,-244.0,0
832,-307.0,0
833,-20.0,0
834,-375.0,0
835,-24.0,0
836,-30.0,0
837,-22.0,0
838,-178.0,0
839,-308.0,0
840,-144.0,0
841,-170.0,0
842,-398.0,0
843,-34.0,0
844,-99.0,0
845,-153.0,0
846,-224.0,0
847,-227.0,0
848,-119.0,0
849,-294.0,0
850,-414.0,0
851,-391.0,0
852,-210.0,0
853,-266.0,0
854,-289.0,0
855,-363.0,0
856,-372.0,0
857,-51.0,0
858,-263.0,0
859,-164.0,0
860,-151.0,0
861,-321.0,0
862,-93.0,0
863,-211.0,0
864,-244.0,0
865,-15.0,0
866,-285.0,0
867,-54.0,0
868,-279.0,0
869,-399.0,0
870,-222.0,0
871,-316.0,0
872,-299.0,0
873,-173.0,0
874,-334.0,0
875,-263.0,0
876,-289.0,0
877,-363.0,0
878,-63.0,0
879,-159.0,0
880,-350.0,0
881,-55.0,0
882,-50.0,0
883,-70.0,0
884,-120.0,0
885,-181.0,0
886,-446.0,0
887,-64.0,0
888,-161.0,0
889,-124.0,0
890,-273.0,0
891,-214.0,0
892,-391.0,0
893,-94.0,0
894,-22.0,0
895,-304.0,0
896,-430.0,0
897,-23.0,0
898,-358.0,0
899,-38.0,0
900,-58.0,0
901,-188.0,0
902,-82.0,0
903,-217.0,0
904,-277.0,0
905,-53.0,0
906,-151.0,0
907,-292.0,0
908,-428.0,0
909,-171.0,0
910,-243.0,0
911,-141.0,0
912,-212.0,0
913,-334.0,0
914,-284.0,0
915,-89.0,0
916,-326.0,0
917,-245.0,0
918,-270.0,0
919,-244.0,0
920,-76.0,0
921,-282.0,0
922,-67.0,0
923,-174.0,0
924,-114.0,0
925,-400.0,0
926,-259.0,0
927,-269.0,0
928,-21.0,0
929,-112.0,0
930,-149.0,0
931,-73.0,0
932,-32.0,0
933,-44.0,0
934,-342.0,0
935,-198.0,0
936,-125.0,0
937,-38.0,0
938,-361.0,0
939,-137.0,0
940,-88.0,0
941,-282.0,0
942,-351.0,0
943,-161.0,0
944,-220.0,0
945,-136.0,0
946,-308.0,0
947,-316.0,0
948,-90.0,0
949,-226.0,0
950,-415.0,0
