graine,score,invalides
523,-32.5,0
524,-30.1,0
525,-38.2,0
526,-37.4,0
527,-26.7,0
528,-32.4,0
529,-28.4,0
530,-24.2,0
531,-29.4,0
532,-30.4,0
533,-27.1,0
534,-31.9,0
535,-25.3,0
536,-25.0,0
537,-29.1,0
538,-40.1,0
539,-88.2,0
540,-36.1,0
541,-25.9,0
542,-33.0,0
543,-117.3,0
544,-28.5,0
545,-44.6,0
546,-21.5,0
547,-46.5,0
548,-32.3,0
549,-27.9,0
550,-34.9,0
551,-31.7,0
552,-26.3,0
553,-21.9,0
554,-15.5,0
555,-32.3,0
556,-28.0,0
557,-86.6,0
558,-23.7,0
559,-29.9,0
560,-38.2,0
561,-17.7,0
562,-29.8,0
563,-36.4,0
564,-41.6,0
565,-28.0,0
566,-25.3,0
567,-24.2,0
568,-37.4,0
569,-29.0,0
570,-34.7,0
571,-37.6,0
572,-47.2,0
573,-34.1,0
574,-28.4,0
575,-28.5,0
576,-27.0,0
577,-24.0,0
578,-80.5,0
579,-23.3,0
580,-71.6,0
581,-96.3,0
582,-57.6,0
583,-27.5,0
584,-57.3,0
585,-27.9,0
586,-33.7,0
587,-117.6,0
588,-31.8,0
589,-38.0,0
590,-19.9,0
591,-28.5,0
592,-28.2,0
593,-30.6,0
594,-40.3,0
595,-59.5,0
596,-30.0,0
597,-71.0,0
598,-19.1,0
599,-30.1,0
600,-32.4,0
601,-29.5,0
602,-30.3,0
603,-26.9,0
604,-30.1,0
605,-39.0,0
606,-24.6,0
607,-38.3,0
608,-25.7,0
609,-79.7,0
610,-33.3,0
611,-35.4,0
612,-28.1,0
613,-31.4,0
614,-27.9,0
615,-101.9,0
616,-42.2,0
617,-26.6,0
618,-39.8,0
619,-42.5,0
620,-39.8,0
621,-29.1,0
622,-44.0,0
623,-24.1,0
624,-31.1,0
625,-40.0,0
626,-26.1,0
627,-45.5,0
628,-19.6,0
629,-52.6,0
630,-23.7,0
631,-28.5,0
632,-27.3,0
633,-29.7,0
634,-34.2,0
635,-23.9,0
636,-81.2,0
637,-27.0,0
638,-24.7,0
639,-63.3,0
640,-27.2,0
641,-40.0,0
642,-91.6,0
643,-24.6,0
644,-94.7,0
645,-26.7,0
646,-25.6,0
647,-30.4,0
648,-28.5,0
649,-35.9,0
650,-22.3,0
651,-31.1,0
652,-38.1,0
653,-33.8,0
654,-44.4,0
655,-24.6,0
656,-24.2,0
657,-35.4,0
658,-40.3,0
659,-27.2,0
660,-43.3,0
661,-37.2,0
662,-26.2,0
663,-39.8,0
664,-31.4,0
665,-28.7,0
666,-30.6,0
667,-23.3,0
668,-29.6,0
669,-39.0,0
670,-36.4,0
671,-38.4,0
672,-33.8,0
673,-27.5,0
674,-35.3,0
675,-24.7,0
676,-22.1,0
677,-29.8,0
678,-25.9,0
679,-26.7,0
680,-30.7,0
681,-27.8,0
682,-32.4,0
683,-24.9,0
684,-25.6,0
685,-25.6,0
686,-35.1,0
687,-32.4,0
688,-45.5,0
689,-27.8,0
690,-34.0,0
691,-28.3,0
692,-32.9,0
693,-31.5,0
694,-36.3,0
695,-40.4,0
696,-124.2,0
697,-25.3,0
698,-76.0,0
699,-29.6,0
700,-33.9,0
701,-25.1,0
702,-29.4,0
703,-69.5,0
704,-23.1,0
705,-37.7,0
706,-38.8,0
707,-38.8,0
708,-25.5,0
709,-21.9,0
710,-30.0,0
711,-29.6,0
712,-35.5,0
713,-22.9,0
714,-30.2,0
715,-20.7,0
716,-36.9,0
717,-29.1,0
718,-28.7,0
719,-33.8,0
720,-31.2,0
721,-30.4,0
722,-33.9,0
723,-90.5,0
724,-32.1,0
725,-33.7,0
726,-31.5,0
727,-30.1,0
728,-25.3,0
729,-51.2,0
730,-31.0,0
731,-28.5,0
732,-27.4,0
733,-20.0,0
734,-28.3,0
735,-110.3,0
