graine,score,invalides
689,-221.3,0
690,-121.4,0
691,-121.4,0
692,-32.3,0
693,-121.4,0
694,-227.8,0
695,-221.3,0
696,-227.8,0
697,-228.8,0
698,-221.2,0
699,-220.3,0
700,-121.4,0
701,-157.8,0
702,-121.3,0
703,-121.3,0
704,-121.4,0
705,-220.3,0
706,-245.8,0
707,-221.3,0
708,-222.3,0
709,-228.8,0
710,-220.3,0
711,-221.3,0
712,-246.8,0
713,-227.8,0
714,-121.4,0
715,-220.3,0
716,-26.3,0
717,-220.8,0
718,-121.4,0
719,-145.7,0
720,-227.8,0
721,-121.4,0
722,-227.7,0
723,-220.2,0
724,-222.3,0
725,-121.4,0
726,-228.8,0
727,-158.3,0
728,-221.3,0
729,-121.4,0
730,-220.3,0
731,-221.3,0
732,-220.8,0
733,-121.3,0
734,-221.3,0
735,-41.8,0
736,-220.8,0
737,-145.5,0
738,-220.2,0
739,-221.3,0
740,-220.8,0
741,-221.3,0
742,-221.2,0
743,-121.3,0
744,-121.4,0
745,-227.8,0
746,-221.3,0
747,-221.2,0
748,-221.2,0
749,-227.8,0
750,-227.7,0
751,-221.3,0
752,-220.2,0
753,-227.8,0
754,-228.8,0
755,-222.3,0
756,-121.4,0
757,-221.3,0
758,-220.3,0
759,-220.3,0
760,-131.8,0
761,-227.8,0
762,-33.8,0
763,-221.3,0
764,-220.2,0
765,-227.8,0
766,-221.3,0
767,-121.3,0
768,-220.3,0
769,-220.2,0
770,-221.3,0
771,-221.3,0
772,-121.4,0
773,-221.3,0
774,-221.2,0
775,-221.3,0
776,-121.4,0
777,-121.4,0
778,-227.7,0
779,-207.2,0
780,-121.3,0
781,-121.4,0
782,-220.3,0
783,-158.3,0
784,-221.3,0
785,-220.3,0
786,-121.4,0
787,-221.3,0
788,-220.2,0
789,-221.2,0
790,-227.8,0
791,-121.3,0
792,-220.3,0
793,-121.3,0
794,-227.8,0
795,-220.3,0
796,-121.3,0
797,-121.4,0
798,-227.8,0
799,-158.3,0
800,-220.3,0
801,-220.8,0
802,-221.3,0
803,-227.8,0
804,-227.8,0
805,-121.4,0
806,-221.3,0
807,-220.3,0
808,-121.4,0
809,-220.2,0
810,-121.4,0
811,-221.3,0
812,-228.8,0
813,-221.3,0
814,-121.4,0
815,-227.8,0
816,-27.4,0
817,-221.3,0
818,-122.4,0
819,-226.8,0
820,-221.3,0
821,-121.4,0
822,-246.8,0
823,-227.7,0
824,-221.2,0
825,-121.3,0
826,-100.6,0
827,-121.4,0
828,-121.4,0
829,-221.2,0
830,-221.3,0
831,-121.4,0
832,-221.3,0
833,-227.7,0
834,-227.7,0
835,-121.4,0
